id,fecha_captura,nombre_completo,puesto_id,coordinacion_id,username_asignado,password_asignado_cifrado,correo,es_cuenta_generica,estatus,quien_entrega_id,fecha_entrega,perfil_id,se_da_negativa,observaciones,registrado_por_id,created_at,updated_at
16,2026-02-04,Persona Ejemplo 16,3,8,usuario.ejemplo16,hash-sintetico-no-real,usuario.ejemplo16@ejemplo.gob.mx,true,Pendiente,3,2026-02-15,2,false,Dato de muestra sintético (no es información real).,4,2026-03-13T18:33:00Z,2026-04-27T14:22:00Z
17,2026-02-04,Persona Ejemplo 17,7,2,usuario.ejemplo17,hash-sintetico-no-real,usuario.ejemplo17@ejemplo.gob.mx,false,Pendiente,3,2026-02-13,6,false,Dato de muestra sintético (no es información real).,5,2026-01-17T16:11:00Z,2026-01-12T18:01:00Z
18,2026-05-07,Persona Ejemplo 18,5,5,usuario.ejemplo18,hash-sintetico-no-real,usuario.ejemplo18@ejemplo.gob.mx,true,Entregado,7,2026-03-03,8,false,Dato de muestra sintético (no es información real).,8,2026-05-14T14:02:00Z,2026-06-26T09:20:00Z
19,2026-01-22,Persona Ejemplo 19,5,3,usuario.ejemplo19,hash-sintetico-no-real,usuario.ejemplo19@ejemplo.gob.mx,false,Entregado,3,2026-06-14,7,false,Dato de muestra sintético (no es información real).,1,2026-03-25T16:31:00Z,2026-02-09T18:18:00Z
20,2026-03-03,Persona Ejemplo 20,4,6,usuario.ejemplo20,hash-sintetico-no-real,usuario.ejemplo20@ejemplo.gob.mx,false,Entregado,4,2026-07-02,4,false,Dato de muestra sintético (no es información real).,1,2026-08-07T08:43:00Z,2026-05-29T09:45:00Z
21,2026-08-16,Persona Ejemplo 21,2,5,usuario.ejemplo21,hash-sintetico-no-real,usuario.ejemplo21@ejemplo.gob.mx,false,Pendiente,1,2026-08-10,2,false,Dato de muestra sintético (no es información real).,2,2026-02-17T10:03:00Z,2026-02-06T17:06:00Z
22,2026-04-02,Persona Ejemplo 22,2,7,usuario.ejemplo22,hash-sintetico-no-real,usuario.ejemplo22@ejemplo.gob.mx,false,Entregado,5,2026-08-10,1,false,Dato de muestra sintético (no es información real).,3,2026-06-22T08:34:00Z,2026-05-31T14:19:00Z
23,2026-08-24,Persona Ejemplo 23,1,6,usuario.ejemplo23,hash-sintetico-no-real,usuario.ejemplo23@ejemplo.gob.mx,true,Pendiente,7,2026-08-27,6,false,Dato de muestra sintético (no es información real).,2,2026-01-09T17:18:00Z,2026-01-21T13:56:00Z
24,2026-04-28,Persona Ejemplo 24,8,3,usuario.ejemplo24,hash-sintetico-no-real,usuario.ejemplo24@ejemplo.gob.mx,true,Pendiente,2,2026-03-02,8,false,Dato de muestra sintético (no es información real).,8,2026-08-30T08:43:00Z,2026-01-20T09:23:00Z
25,2026-08-21,Persona Ejemplo 25,8,1,usuario.ejemplo25,hash-sintetico-no-real,usuario.ejemplo25@ejemplo.gob.mx,false,Entregado,8,2026-03-04,6,false,Dato de muestra sintético (no es información real).,1,2026-07-18T07:52:00Z,2026-04-06T17:46:00Z
26,2026-07-07,Persona Ejemplo 26,5,5,usuario.ejemplo26,hash-sintetico-no-real,usuario.ejemplo26@ejemplo.gob.mx,false,Pendiente,3,2026-06-05,7,false,Dato de muestra sintético (no es información real).,4,2026-01-31T13:01:00Z,2026-05-21T11:12:00Z
27,2026-06-20,Persona Ejemplo 27,8,7,usuario.ejemplo27,hash-sintetico-no-real,usuario.ejemplo27@ejemplo.gob.mx,false,Entregado,7,2026-07-28,1,false,Dato de muestra sintético (no es información real).,7,2026-03-02T07:03:00Z,2026-03-13T17:45:00Z
28,2026-01-07,Persona Ejemplo 28,6,6,usuario.ejemplo28,hash-sintetico-no-real,usuario.ejemplo28@ejemplo.gob.mx,false,Entregado,2,2026-05-06,6,false,Dato de muestra sintético (no es información real).,2,2026-08-10T11:01:00Z,2026-03-04T11:56:00Z
29,2026-07-15,Persona Ejemplo 29,5,2,usuario.ejemplo29,hash-sintetico-no-real,usuario.ejemplo29@ejemplo.gob.mx,false,Pendiente,6,2026-03-27,6,false,Dato de muestra sintético (no es información real).,1,2026-03-13T14:35:00Z,2026-01-04T12:58:00Z
30,2026-07-16,Persona Ejemplo 30,4,5,usuario.ejemplo30,hash-sintetico-no-real,usuario.ejemplo30@ejemplo.gob.mx,true,Entregado,8,2026-08-23,8,false,Dato de muestra sintético (no es información real).,7,2026-02-03T14:46:00Z,2026-04-10T07:11:00Z
31,2026-04-03,Persona Ejemplo 31,8,7,usuario.ejemplo31,hash-sintetico-no-real,usuario.ejemplo31@ejemplo.gob.mx,true,Pendiente,2,2026-05-04,5,false,Dato de muestra sintético (no es información real).,1,2026-02-24T08:15:00Z,2026-05-19T15:26:00Z
32,2026-02-24,Persona Ejemplo 32,7,4,usuario.ejemplo32,hash-sintetico-no-real,usuario.ejemplo32@ejemplo.gob.mx,false,Pendiente,6,2026-03-25,5,false,Dato de muestra sintético (no es información real).,7,2026-05-12T16:45:00Z,2026-06-14T07:51:00Z
33,2026-02-23,Persona Ejemplo 33,2,5,usuario.ejemplo33,hash-sintetico-no-real,usuario.ejemplo33@ejemplo.gob.mx,false,Pendiente,3,2026-05-31,3,false,Dato de muestra sintético (no es información real).,4,2026-07-06T08:40:00Z,2026-01-11T07:43:00Z
34,2026-06-09,Persona Ejemplo 34,1,5,usuario.ejemplo34,hash-sintetico-no-real,usuario.ejemplo34@ejemplo.gob.mx,false,Entregado,1,2026-07-17,6,false,Dato de muestra sintético (no es información real).,7,2026-04-16T12:50:00Z,2026-08-10T16:01:00Z
35,2026-06-16,Persona Ejemplo 35,6,8,usuario.ejemplo35,hash-sintetico-no-real,usuario.ejemplo35@ejemplo.gob.mx,false,Entregado,6,2026-08-14,1,false,Dato de muestra sintético (no es información real).,5,2026-04-14T12:26:00Z,2026-07-15T13:09:00Z
36,2026-02-05,Persona Ejemplo 36,4,3,usuario.ejemplo36,hash-sintetico-no-real,usuario.ejemplo36@ejemplo.gob.mx,true,Entregado,1,2026-01-30,1,true,Dato de muestra sintético (no es información real).,2,2026-08-26T10:11:00Z,2026-03-03T11:42:00Z
37,2026-06-26,Persona Ejemplo 37,2,5,usuario.ejemplo37,hash-sintetico-no-real,usuario.ejemplo37@ejemplo.gob.mx,true,Entregado,8,2026-05-26,8,false,Dato de muestra sintético (no es información real).,8,2026-07-03T13:01:00Z,2026-06-30T13:11:00Z
38,2026-01-08,Persona Ejemplo 38,5,1,usuario.ejemplo38,hash-sintetico-no-real,usuario.ejemplo38@ejemplo.gob.mx,false,Entregado,3,2026-08-10,2,true,Dato de muestra sintético (no es información real).,3,2026-04-24T07:39:00Z,2026-08-12T11:03:00Z
39,2026-04-06,Persona Ejemplo 39,6,1,usuario.ejemplo39,hash-sintetico-no-real,usuario.ejemplo39@ejemplo.gob.mx,true,Pendiente,8,2026-03-31,5,true,Dato de muestra sintético (no es información real).,6,2026-06-22T12:33:00Z,2026-02-27T11:54:00Z
40,2026-01-15,Persona Ejemplo 40,1,1,usuario.ejemplo40,hash-sintetico-no-real,usuario.ejemplo40@ejemplo.gob.mx,true,Pendiente,6,2026-04-21,3,false,Dato de muestra sintético (no es información real).,5,2026-07-06T17:48:00Z,2026-08-03T16:31:00Z
